time_sent,time_received,time_elapsed
2023-04-24 21:48:08.541167,2023-04-24 21:48:08.548002,6.835
2023-04-24 21:48:08.544098,2023-04-24 21:48:08.549956,5.858
2023-04-24 21:48:08.549956,2023-04-24 21:48:08.553860,3.904
2023-04-24 21:48:08.550932,2023-04-24 21:48:08.555813,4.881
2023-04-24 21:48:08.554837,2023-04-24 21:48:08.557767,2.93
2023-04-24 21:48:08.556791,2023-04-24 21:48:08.559720,2.929
2023-04-24 21:48:08.558743,2023-04-24 21:48:08.561672,2.929
2023-04-24 21:48:08.560698,2023-04-24 21:48:08.562648,1.95
2023-04-24 21:48:08.561672,2023-04-24 21:48:08.565580,3.908
2023-04-24 21:48:08.563627,2023-04-24 21:48:08.567532,3.905
2023-04-24 21:48:08.566556,2023-04-24 21:48:08.569486,2.93
2023-04-24 21:48:08.568509,2023-04-24 21:48:08.571437,2.928
2023-04-24 21:48:08.569486,2023-04-24 21:48:08.573391,3.905
2023-04-24 21:48:08.571437,2023-04-24 21:48:08.574368,2.931
2023-04-24 21:48:08.573391,2023-04-24 21:48:08.576320,2.929
2023-04-24 21:48:08.575343,2023-04-24 21:48:08.578273,2.93
2023-04-24 21:48:08.578273,2023-04-24 21:48:08.619803,41.53
2023-04-24 21:48:08.577297,2023-04-24 21:48:08.621756,44.459
2023-04-24 21:48:08.621756,2023-04-24 21:48:08.623711,1.955
2023-04-24 21:48:08.621756,2023-04-24 21:48:08.625662,3.906
2023-04-24 21:48:08.624686,2023-04-24 21:48:08.626639,1.953
2023-04-24 21:48:08.625662,2023-04-24 21:48:08.628591,2.929
2023-04-24 21:48:08.627617,2023-04-24 21:48:08.631523,3.906
2023-04-24 21:48:08.629568,2023-04-24 21:48:08.634449,4.881
2023-04-24 21:48:08.631523,2023-04-24 21:48:08.638359,6.836
2023-04-24 21:48:08.634449,2023-04-24 21:48:08.640309,5.86
2023-04-24 21:48:08.639334,2023-04-24 21:48:08.643238,3.904
2023-04-24 21:48:08.642262,2023-04-24 21:48:08.647146,4.884
2023-04-24 21:48:08.644216,2023-04-24 21:48:08.650075,5.859
2023-04-24 21:48:08.649099,2023-04-24 21:48:08.652028,2.929
2023-04-24 21:48:08.651051,2023-04-24 21:48:08.653983,2.932
2023-04-24 21:48:08.653003,2023-04-24 21:48:08.655934,2.931
2023-04-24 21:48:08.654957,2023-04-24 21:48:08.657890,2.933
2023-04-24 21:48:08.656911,2023-04-24 21:48:08.659843,2.932
2023-04-24 21:48:08.658863,2023-04-24 21:48:08.661791,2.928
2023-04-24 21:48:08.659843,2023-04-24 21:48:08.663745,3.902
2023-04-24 21:48:08.661791,2023-04-24 21:48:08.665705,3.914
2023-04-24 21:48:08.664723,2023-04-24 21:48:08.668168,3.445
2023-04-24 21:48:08.667195,2023-04-24 21:48:08.670120,2.925
2023-04-24 21:48:08.669145,2023-04-24 21:48:08.672073,2.928
2023-04-24 21:48:08.671099,2023-04-24 21:48:08.674028,2.929
2023-04-24 21:48:08.673052,2023-04-24 21:48:08.675980,2.928
2023-04-24 21:48:08.675005,2023-04-24 21:48:08.677480,2.475
2023-04-24 21:48:08.675980,2023-04-24 21:48:08.679425,3.445
2023-04-24 21:48:08.677480,2023-04-24 21:48:08.680402,2.922
2023-04-24 21:48:08.679425,2023-04-24 21:48:08.683332,3.907
2023-04-24 21:48:08.681379,2023-04-24 21:48:08.684312,2.933
2023-04-24 21:48:08.684312,2023-04-24 21:48:08.686262,1.95
